,XLK,XLI,XLF,XLY,XLV,XLE,AGG,XLU,XLRE,XLP,XLC,XLB
2018-01-31,0.33333333333333337,0.33333333333333337,0.33333333333333337,,,,,,,,,
2018-02-28,0.33333333333333337,,,0.33333333333333337,0.33333333333333337,,,,,,,
2018-03-29,0.33333333333333337,,0.33333333333333337,0.33333333333333337,,,,,,,,
2018-04-30,0.27718936293011537,0.4456212741397691,0.27718936293011537,,,,,,,,,
2018-05-31,0.21185894947979061,,0.5762821010404187,,,0.21185894947979061,,,,,,
2018-06-29,0.33333333333333337,,,0.33333333333333337,,0.33333333333333337,,,,,,
2018-07-31,0.6793316055912855,,,0.16876099791951418,,0.15190739648920037,,,,,,
2018-08-31,0.33333333333333337,,,0.33333333333333337,,0.33333333333333337,,,,,,
2018-09-28,0.33333333333333337,,,0.33333333333333337,0.33333333333333337,,,,,,,
2018-10-31,0.15314563964850425,,,0.19370872070299142,0.15314563964850425,,0.5,,,,,
2018-11-30,0.33333333333333337,,,0.33333333333333337,0.33333333333333337,,,,,,,
2018-12-31,0.16666666666666669,,,0.16666666666666669,0.16666666666666669,,0.5,,,,,
2019-01-31,,,,,0.16666666666666669,,0.5,0.16666666666666669,0.16666666666666669,,,
2019-02-28,,,,,0.3273614004832207,,,0.3273614004832207,0.34527719903355847,,,
2019-03-29,,,,,0.33333333333333337,,,0.33333333333333337,0.33333333333333337,,,
2019-04-30,0.33333333333333337,,,,,,,0.33333333333333337,0.33333333333333337,,,
2019-05-31,,,,,,,0.5,0.18967669272197635,0.07182439397583563,0.23849891330218795,,
2019-06-28,,,,,,,,0.3915876801087865,0.37314987930954824,0.23526244058166532,,
2019-07-31,0.4987522516481559,,,,,,,0.250623874175922,0.250623874175922,,,
2019-08-30,,,,,,,,0.33333333333333337,0.33333333333333337,0.33333333333333337,,
2019-09-30,,,,,,,,0.33333333333333337,0.33333333333333337,0.33333333333333337,,
2019-10-31,0.33333333333333337,,,,,,,0.33333333333333337,0.33333333333333337,,,
2019-11-29,0.33333333333333337,,,,,,,0.33333333333333337,0.33333333333333337,,,
2019-12-31,0.33333333333333337,0.33333333333333337,,,,,,,0.33333333333333337,,,
2020-01-31,0.33333333333333337,,,,,,,0.33333333333333337,,0.33333333333333337,,
2020-02-28,0.15046029504091815,,,,,,0.5,0.21731846638641547,,,0.1322212385726664,
2020-03-31,0.16666666666666669,,,,,,0.5,0.16666666666666669,,0.16666666666666669,,
2020-04-30,0.13097381216767945,,,,0.13097381216767945,,0.5,0.23805237566464107,,,,
2020-05-29,0.33333333333333337,,,,0.33333333333333337,,,,,0.33333333333333337,,
2020-06-30,0.3209048367848405,,,,0.3209048367848405,,,,,,0.35819032643031906,
2020-07-31,0.33333333333333337,,,,0.33333333333333337,,,,,,0.33333333333333337,
2020-08-31,0.33333333333333337,,,,0.33333333333333337,,,,,,0.33333333333333337,
2020-09-30,0.33333333333333337,,,0.33333333333333337,,,,,,,0.33333333333333337,
2020-10-30,0.37294657730783726,,,0.40698339454739707,,,,,,,0.22007002814476567,
2020-11-30,0.33333333333333337,,,0.33333333333333337,,,,,,,0.33333333333333337,
2020-12-31,0.33333333333333337,,,0.33333333333333337,,,,,,,0.33333333333333337,
2021-01-29,0.2796490497123717,,,0.3818495999215652,,,,,,,,0.3385013503660631
2021-02-26,0.25001601937681,,,0.41510526255447894,,,,,,,,0.33487871806871106
2021-03-31,,,,0.33333333333333337,,0.33333333333333337,,,,,,0.33333333333333337
2021-04-30,,0.33333333333333337,0.33333333333333337,,,,,,,,,0.33333333333333337
2021-05-28,,0.33333333333333337,0.33333333333333337,,,,,,,,,0.33333333333333337
2021-06-30,,0.33333333333333337,0.33333333333333337,,,,,,,,,0.33333333333333337
2021-07-30,,0.33333333333333337,0.33333333333333337,,,0.33333333333333337,,,,,,
2021-08-31,,,0.33333333333333337,,,0.33333333333333337,,,0.33333333333333337,,,
2021-09-30,,,0.3199036373916143,,,0.17719685708210395,,,,,0.5028995055262817,
2021-10-29,,,0.23463697807702952,,,0.5307260438459409,,,,,0.23463697807702952,
2021-11-30,,,0.4400350046601988,,,0.3816594262666221,,,0.17830556907317907,,,
2021-12-31,0.43195789227194104,,,,,0.29355878191905094,,,0.27448332580900797,,,
2022-01-31,,,0.33333333333333337,,,0.33333333333333337,,,0.33333333333333337,,,
2022-02-28,,,,,,0.16666666666666669,0.5,,0.16666666666666669,0.16666666666666669,,
2022-03-31,,,,,0.20270356501742182,0.5945928699651564,,,0.20270356501742182,,,
2022-04-29,0.14918912418977173,,,,,0.056867739397637285,0.5,,0.29394313641259096,,,
2022-05-31,,,,,,0.16666666666666669,0.5,0.16666666666666669,,0.16666666666666669,,
2022-06-30,,,,,,0.16666666666666669,0.5,0.16666666666666669,,0.16666666666666669,,
2022-07-29,,,,,,0.16666666666666669,0.5,0.16666666666666669,,0.16666666666666669,,
2022-08-31,,,,,,0.1720863061142906,0.5,0.1440878480215479,,0.1838258458641615,,
2022-09-30,,,,,,0.04407938108438163,0.5,0.28450438058224314,,0.17141623833337527,,
2022-10-31,,,,,,0.16666666666666669,0.5,0.16666666666666669,,0.16666666666666669,,
2022-11-30,,,,,,0.364987720393043,,0.3175061398034784,,0.3175061398034784,,
2022-12-30,,,,,,0.16666666666666669,0.5,0.16666666666666669,,0.16666666666666669,,
2023-01-31,,,,,0.33333333333333337,0.33333333333333337,,0.33333333333333337,,,,
2023-02-28,,,,,0.34534907943793747,0.16794021826210206,,0.48671070229996044,,,,
2023-03-31,,0.33333333333333337,,,,0.33333333333333337,,,,0.33333333333333337,,
2023-04-28,0.30004261700969825,0.30004261700969825,,,,0.3999147659806034,,,,,,
2023-05-31,0.2897659416271116,0.2897659416271116,,,,,,,,0.4204681167457767,,
2023-06-30,0.33333333333333337,0.33333333333333337,,,,,,,,,0.33333333333333337,
2023-07-31,0.33333333333333337,0.33333333333333337,,,,,,,,,0.33333333333333337,
2023-08-31,0.33333333333333337,0.33333333333333337,,,,,,,,,0.33333333333333337,
2023-09-29,0.33333333333333337,0.33333333333333337,,,,,,,,,0.33333333333333337,
2023-10-31,0.16666666666666669,,,0.16666666666666669,,,0.5,,,,0.16666666666666669,
2023-11-30,0.2719595255390764,,,0.2719595255390764,,,,,,,0.45608094892184714,
2023-12-29,0.33333333333333337,,,0.33333333333333337,,,,,,,0.33333333333333337,
2024-01-31,0.5116882979260547,,,0.16267207966038388,,,,,,,0.32563962241356137,
2024-02-29,0.33333333333333337,,,0.33333333333333337,,,,,,,0.33333333333333337,
2024-03-28,0.33333333333333337,,0.33333333333333337,,,,,,,,0.33333333333333337,
2024-04-30,0.15303289329117356,,0.2828426497775832,,,,,,,,0.564124456931243,
2024-05-31,,0.33333333333333337,0.33333333333333337,,,,,,,,0.33333333333333337,
2024-06-28,0.3170448885001219,,0.36591022299975606,,,,,,,,0.3170448885001219,
2024-07-31,0.33333333333333337,,0.33333333333333337,,,,,,,,0.33333333333333337,
2024-08-30,,,0.33333333333333337,,,,,0.33333333333333337,,,0.33333333333333337,
2024-09-30,0.33333333333333337,,0.33333333333333337,,,,,,,,0.33333333333333337,
2024-10-31,,0.36699243675980975,0.31650378162009507,,,,,0.31650378162009507,,,,
2024-11-29,,,0.33333333333333337,,,,,0.33333333333333337,,,0.33333333333333337,
2024-12-31,,,0.28303148342524614,,,,,0.2170099271873361,,,0.4999585893874178,
2025-01-31,,,,0.33333333333333337,,,,0.33333333333333337,,,0.33333333333333337,
2025-02-28,,,0.31427292148633174,,,,,0.31427292148633174,,,0.3714541570273364,
2025-03-31,,,0.10743850329169745,,,,0.5,0.08738946243692713,,,0.3051720342713754,
2025-04-30,,,0.16666666666666669,,,,0.5,0.16666666666666669,,,0.16666666666666669,
2025-05-30,,,0.33333333333333337,,,,,,0.33333333333333337,,0.33333333333333337,
2025-06-30,,0.33333333333333337,0.33333333333333337,,,,,0.33333333333333337,,,,
2025-07-31,0.24985939653498163,,0.5002812069300366,,,,,,,,0.24985939653498163,
2025-08-29,0.33333333333333337,,,0.33333333333333337,,,,,,,0.33333333333333337,
2025-09-30,0.33333333333333337,,0.33333333333333337,,,,,,,,0.33333333333333337,
2025-10-31,0.2496368048089998,,,0.2496368048089998,,,,,,,0.5007263903820003,
2025-11-28,0.33333333333333337,,,,,,,0.33333333333333337,,,0.33333333333333337,
2025-12-30,0.33333333333333337,,,,,,,0.33333333333333337,,,0.33333333333333337,
