rule,cost_bps,n_tranches,offsets,cagr,sharpe,max_dd
gem,10.0,2tr,0+10,0.0865971094387985,0.6067074642716827,-0.33717267690003405
gem,10.0,2tr,2+12,0.08366685945119023,0.5862485474438311,-0.3371726769000344
gem,10.0,2tr,4+14,0.0785101001855264,0.5601781690689362,-0.3371726769000344
gem,10.0,2tr,6+16,0.0756332242897404,0.5430427105729175,-0.3371726769000346
gem,10.0,2tr,8+18,0.08248325935032463,0.5773007061960729,-0.3371726769000344
gem,10.0,4tr,0+5+10+15,0.08163347949976885,0.5805398301384657,-0.3371726769000343
gem,10.0,4tr,2+6+12+16,0.07980119024940135,0.5674678654749185,-0.3371726769000344
gem,10.0,4tr,4+8+14+18,0.08053364922087769,0.570588049465032,-0.3371726769000344
gem,20.0,2tr,0+10,0.08257897076898435,0.5831418266427193,-0.33717267690003394
gem,20.0,2tr,2+12,0.07947656897042332,0.5616994694165277,-0.3371726769000344
gem,20.0,2tr,4+14,0.07442619444053733,0.5360194471685616,-0.3371726769000344
gem,20.0,2tr,6+16,0.07188324615218322,0.5207854739990782,-0.3371726769000343
gem,20.0,2tr,8+18,0.07856247257141069,0.5544683534421317,-0.3371726769000343
gem,20.0,4tr,0+5+10+15,0.07764537861726306,0.5569080793001865,-0.33717267690003394
gem,20.0,4tr,2+6+12+16,0.07581545361909248,0.5439167942510104,-0.3371726769000344
gem,20.0,4tr,4+8+14+18,0.07653454890508038,0.5470619011474029,-0.3371726769000343
rot63,10.0,2tr,0+10,0.12605788000673446,0.8626035781092564,-0.1985309904318585
rot63,10.0,2tr,2+12,0.11466077284275977,0.766105265044633,-0.2718386146045886
rot63,10.0,2tr,4+14,0.12616917797116356,0.8399119411219828,-0.2800985854146627
rot63,10.0,2tr,6+16,0.11555106902651135,0.7859212267971856,-0.21798361772657304
rot63,10.0,2tr,8+18,0.10565008840082579,0.7449513219064247,-0.26086502817721446
rot63,10.0,4tr,0+5+10+15,0.12355537801275118,0.849555038456886,-0.22985056481861255
rot63,10.0,4tr,2+6+12+16,0.1151077200120203,0.7833717816779318,-0.24515984967185667
rot63,10.0,4tr,4+8+14+18,0.11685874902176185,0.8075506563289604,-0.2534628318991158
rot63,20.0,2tr,0+10,0.11492347835287631,0.7967553264803536,-0.20011030973357835
rot63,20.0,2tr,2+12,0.10323907392005971,0.7005355901882486,-0.2727724351595454
rot63,20.0,2tr,4+14,0.11515191456370433,0.7768612567173663,-0.28089555827095414
rot63,20.0,2tr,6+16,0.10430674117512573,0.7202108032917243,-0.21946430154491625
rot63,20.0,2tr,8+18,0.09450569184680879,0.6772088775890299,-0.2665208224217971
rot63,20.0,4tr,0+5+10+15,0.1124917352871242,0.7838205477431167,-0.23130855595635813
rot63,20.0,4tr,2+6+12+16,0.10377552143386715,0.7170319911030099,-0.24637971928811653
rot63,20.0,4tr,4+8+14+18,0.10579915951092245,0.7416672865135846,-0.254619585410908
