,sel_freq_risk_on,avg_target_w_risk_on,avg_daily_ledger_w,bucket
SOXX,0.5846153846153846,0.15321378050434825,0.12183204821467877,semis
QQQ,0.4358974358974359,0.1522475931257487,0.12074431361947903,other_tech
XLK,0.4307692307692308,0.15764145507902744,0.12477283528116759,other_tech
VGT,0.5282051282051282,0.18749561920107932,0.14797015498772845,other_tech
IGV,0.41025641025641024,0.13093758617564197,0.105074657919358,other_tech
XLE,0.2923076923076923,0.08188158202892004,0.06554877205295054,energy
GLD,0.27692307692307694,0.09912356303497005,0.07908591605442311,gold
SHY,0.041025641025641026,0.037458820850264266,0.23477587486220197,defensive
__risk_off_months__,0.20408163265306123,,,
