,QQQ,SOXX,SHY,XLK,GLD,IEF
2018-01-31,1.0,,,,,
2018-02-28,,0.5544655649873167,0.4455344350126833,,,
2018-03-29,,0.6349774819125742,0.3650225180874258,,,
2018-04-30,0.8478431405993885,,0.15215685940061152,,,
2018-05-31,,,,1.0,,
2018-06-29,1.0,,,,,
2018-07-31,1.0,,,,,
2018-08-31,1.0,,,,,
2018-09-28,,,,1.0,,
2018-10-31,,,1.0,,,
2018-11-30,0.7149071502139657,,0.28509284978603433,,,
2018-12-31,,,,,1.0,
2019-01-31,,,,,1.0,
2019-02-28,,1.0,,,,
2019-03-29,,,,1.0,,
2019-04-30,,1.0,,,,
2019-05-31,,,,,,1.0
2019-06-28,,,,0.9693759039313034,,
2019-07-31,,0.8991833736753369,0.10081662632466315,,,
2019-08-30,,0.5908691096170121,0.4091308903829879,,,
2019-09-30,,0.9025380711616465,0.09746192883835347,,,
2019-10-31,,0.7746684655582007,0.22533153444179932,,,
2019-11-29,,1.0,,,,
2019-12-31,,1.0,,,,
2020-01-31,,,,1.0,,
2020-02-28,,,,,1.0,
2020-03-31,,,,,,1.0
2020-04-30,,,,,,1.0
2020-05-29,,0.49733177358672503,0.5026682264132749,,,
2020-06-30,,0.6195286265786332,0.38047137342136683,,,
2020-07-31,0.8917327365997211,,0.10826726340027892,,,
2020-08-31,,,,1.0,,
2020-09-30,,0.5562026242753638,0.4437973757246362,,,
2020-10-30,,0.7632621726450586,0.23673782735494142,,,
2020-11-30,,0.6749678909344475,0.32503210906555247,,,
2020-12-31,,1.0,,,,
2021-01-29,,0.6130105279048815,0.38698947209511847,,,
2021-02-26,,0.5073495457767276,0.49265045422327236,,,
2021-03-31,,0.39484287648010535,0.6051571235198947,,,
2021-04-30,1.0,,,,,
2021-05-28,0.9989278943985797,,,,,
2021-06-30,,1.0,,,,
2021-07-30,,,,1.0,,
2021-08-31,,,,1.0,,
2021-09-30,1.0,,,,,
2021-10-29,,0.9854638903920961,,,,
2021-11-30,,0.7115548422592121,0.28844515774078794,,,
2021-12-31,,0.5718021441828962,0.4281978558171038,,,
2022-01-31,,,0.2990751361921975,0.7009248638078025,,
2022-02-28,,,,,1.0,
2022-03-31,0.6029677447379478,,0.3970322552620522,,,
2022-04-29,,,,,1.0,
2022-05-31,,,1.0,,,
2022-06-30,,,1.0,,,
2022-07-29,,,,,,1.0
2022-08-31,,,1.0,,,
2022-09-30,,,1.0,,,
2022-10-31,,,1.0,,,
2022-11-30,,0.36502866506684645,0.6349713349331536,,,
2022-12-30,,,,,1.0,
2023-01-31,,0.6040937614164866,0.39590623858351337,,,
2023-02-28,,0.5472691761748556,0.4527308238251444,,,
2023-03-31,,,,0.9662132064220353,,
2023-04-28,,,,1.0,,
2023-05-31,,,0.10887850211759686,0.8911214978824031,,
2023-06-30,,0.8230146938782174,0.17698530612178265,,,
2023-07-31,,0.7580819429460748,0.24191805705392522,,,
2023-08-31,1.0,,,,,
2023-09-29,1.0,,,,,
2023-10-31,,,,,1.0,
2023-11-30,,,,1.0,,
2023-12-29,,0.8175975101430566,0.1824024898569434,,,
2024-01-31,,0.6546686447749815,0.34533135522501845,,,
2024-02-29,,0.7289731671029291,0.27102683289707086,,,
2024-03-28,,0.5990265402952637,0.4009734597047363,,,
2024-04-30,1.0,,,,,
2024-05-31,,0.9039763641095926,0.09602363589040741,,,
2024-06-28,,,,1.0,,
2024-07-31,0.8231299567493615,,0.1768700432506385,,,
2024-08-30,0.8166813956409317,,0.18331860435906833,,,
2024-09-30,,,0.27057643188975433,0.7294235681102457,,
2024-10-31,,,,1.0,,
2024-11-29,1.0,,,,,
2024-12-31,0.9977125214276785,,,,,
2025-01-31,0.991549003948296,,,,,
2025-02-28,1.0,,,,,
2025-03-31,,,,,1.0,
2025-04-30,,,,,1.0,
2025-05-30,,,0.11875152158733182,0.8812484784126682,,
2025-06-30,,0.782313588735535,0.21768641126446497,,,
2025-07-31,,1.0,,,,
2025-08-29,1.0,,,,,
2025-09-30,,1.0,,,,
2025-10-31,,0.49701367884218073,0.5029863211578193,,,
2025-11-28,,0.5014622951319042,0.4985377048680958,,,
2025-12-30,,0.6964705056802453,0.30352949431975473,,,
